study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB24932	SAMEA104589034	ERX2351302	ERR2299965	4932	Saccharomyces cerevisiae			
PRJEB24932	SAMEA104589035	ERX2351303	ERR2299966	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/006/ERR2299966/ERR2299966_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/006/ERR2299966/ERR2299966_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR229/ERR2299966/UFMG-CM-Y215_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR229/ERR2299966/UFMG-CM-Y215_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR229/006/ERR2299966
PRJEB24932	SAMEA104589036	ERX2351304	ERR2299967	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/007/ERR2299967/ERR2299967_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/007/ERR2299967/ERR2299967_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR229/ERR2299967/UFMG-CM-Y223_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR229/ERR2299967/UFMG-CM-Y223_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR229/007/ERR2299967
PRJEB24932	SAMEA104589037	ERX2351305	ERR2299968	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/008/ERR2299968/ERR2299968_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/008/ERR2299968/ERR2299968_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR229/ERR2299968/UFMG-CM-Y228_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR229/ERR2299968/UFMG-CM-Y228_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR229/008/ERR2299968
PRJEB24932	SAMEA104589038	ERX2351306	ERR2299969	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/009/ERR2299969/ERR2299969_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/009/ERR2299969/ERR2299969_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR229/ERR2299969/UFMG-CM-Y251_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR229/ERR2299969/UFMG-CM-Y251_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR229/009/ERR2299969
PRJEB24932	SAMEA104589039	ERX2351307	ERR2299970	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/000/ERR2299970/ERR2299970_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/000/ERR2299970/ERR2299970_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR229/ERR2299970/UFMG-CM-Y617_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR229/ERR2299970/UFMG-CM-Y617_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR229/000/ERR2299970
PRJEB24932	SAMEA104589040	ERX2351308	ERR2299971	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/001/ERR2299971/ERR2299971_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/001/ERR2299971/ERR2299971_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR229/ERR2299971/UFMG-CM-Y618_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR229/ERR2299971/UFMG-CM-Y618_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR229/001/ERR2299971
PRJEB24932	SAMEA104589041	ERX2351309	ERR2299972	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/002/ERR2299972/ERR2299972_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/002/ERR2299972/ERR2299972_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR229/ERR2299972/UFMG-CM-Y619_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR229/ERR2299972/UFMG-CM-Y619_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR229/002/ERR2299972
PRJEB24932	SAMEA104589042	ERX2351310	ERR2299973	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/003/ERR2299973/ERR2299973_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/003/ERR2299973/ERR2299973_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR229/ERR2299973/UFMG-CM-Y620_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR229/ERR2299973/UFMG-CM-Y620_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR229/003/ERR2299973
PRJEB24932	SAMEA104589043	ERX2351311	ERR2299974	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/004/ERR2299974/ERR2299974_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/004/ERR2299974/ERR2299974_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR229/ERR2299974/UFMG-CM-Y621_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR229/ERR2299974/UFMG-CM-Y621_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR229/004/ERR2299974
