## htsjdk.samtools.metrics.StringHeader
# MarkDuplicatesSpark --output marked_duplicates_ERR2299966.bam --metrics-file marked_dup_metrics_ERR2299966.txt --input ERR2299966.bam --allow-multiple-sort-orders-in-input false --treat-unsorted-as-querygroup-ordered false --duplicate-scoring-strategy SUM_OF_BASE_QUALITIES --do-not-mark-unmapped-mates false --duplicate-tagging-policy DontTag --remove-all-duplicates false --remove-sequencing-duplicates false --read-name-regex <optimized capture of last three ':' separated fields as numeric values> --optical-duplicate-pixel-distance 100 --read-validation-stringency SILENT --interval-set-rule UNION --interval-padding 0 --interval-exclusion-padding 0 --interval-merging-rule ALL --bam-partition-size 0 --use-nio false --disable-sequence-dictionary-validation false --add-output-vcf-command-line true --sharded-output false --num-reducers 0 --create-output-bam-index true --create-output-bam-splitting-index true --splitting-index-granularity 4096 --create-output-variant-index true --spark-master local[*] --help false --version false --showHidden false --verbosity INFO --QUIET false --use-jdk-deflater false --use-jdk-inflater false --gcs-max-retries 20 --gcs-project-for-requester-pays  --disable-tool-default-read-filters false
## htsjdk.samtools.metrics.StringHeader
# Started on: April 11, 2021 5:33:42 PM CEST

## METRICS CLASS	org.broadinstitute.hellbender.utils.read.markduplicates.GATKDuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
1	3591	1584895	11493	241707	1824	26163	0	0.017064	47474901

## HISTOGRAM	java.lang.Double
BIN	CoverageMult
1.0	1
2.0	1.967167
3.0	2.90258
4.0	3.80728
5.0	4.682277
6.0	5.528544
7.0	6.347027
8.0	7.138637
9.0	7.904256
10.0	8.644737
11.0	9.360906
12.0	10.053562
13.0	10.723476
14.0	11.371395
15.0	11.99804
16.0	12.604112
17.0	13.190284
18.0	13.75721
19.0	14.305523
20.0	14.835833
21.0	15.348732
22.0	15.844791
23.0	16.324563
24.0	16.788582
25.0	17.237367
26.0	17.671416
27.0	18.091215
28.0	18.497231
29.0	18.889915
30.0	19.269707
31.0	19.63703
32.0	19.992292
33.0	20.33589
34.0	20.668206
35.0	20.989612
36.0	21.300465
37.0	21.601112
38.0	21.891888
39.0	22.173117
40.0	22.445112
41.0	22.708177
42.0	22.962605
43.0	23.20868
44.0	23.446675
45.0	23.676856
46.0	23.899479
47.0	24.114793
48.0	24.323038
49.0	24.524446
50.0	24.71924
51.0	24.907639
52.0	25.089853
53.0	25.266084
54.0	25.436529
55.0	25.601377
56.0	25.760813
57.0	25.915015
58.0	26.064153
59.0	26.208395
60.0	26.347901
61.0	26.482827
62.0	26.613323
63.0	26.739534
64.0	26.861601
65.0	26.979661
66.0	27.093844
67.0	27.204278
68.0	27.311087
69.0	27.414388
70.0	27.514298
71.0	27.610928
72.0	27.704385
73.0	27.794774
74.0	27.882195
75.0	27.966745
76.0	28.04852
77.0	28.12761
78.0	28.204102
79.0	28.278084
80.0	28.349636
81.0	28.41884
82.0	28.485771
83.0	28.550504
84.0	28.613112
85.0	28.673665
86.0	28.732229
87.0	28.788871
88.0	28.843653
89.0	28.896636
90.0	28.94788
91.0	28.997441
92.0	29.045375
93.0	29.091735
94.0	29.136573
95.0	29.179939
96.0	29.221881
97.0	29.262446
98.0	29.30168
99.0	29.339625
100.0	29.376324

## htsjdk.samtools.metrics.StringHeader
# MarkDuplicatesSpark --output marked_duplicates_ERR2299967.bam --metrics-file marked_dup_metrics_ERR2299967.txt --input ERR2299967.bam --allow-multiple-sort-orders-in-input false --treat-unsorted-as-querygroup-ordered false --duplicate-scoring-strategy SUM_OF_BASE_QUALITIES --do-not-mark-unmapped-mates false --duplicate-tagging-policy DontTag --remove-all-duplicates false --remove-sequencing-duplicates false --read-name-regex <optimized capture of last three ':' separated fields as numeric values> --optical-duplicate-pixel-distance 100 --read-validation-stringency SILENT --interval-set-rule UNION --interval-padding 0 --interval-exclusion-padding 0 --interval-merging-rule ALL --bam-partition-size 0 --use-nio false --disable-sequence-dictionary-validation false --add-output-vcf-command-line true --sharded-output false --num-reducers 0 --create-output-bam-index true --create-output-bam-splitting-index true --splitting-index-granularity 4096 --create-output-variant-index true --spark-master local[*] --help false --version false --showHidden false --verbosity INFO --QUIET false --use-jdk-deflater false --use-jdk-inflater false --gcs-max-retries 20 --gcs-project-for-requester-pays  --disable-tool-default-read-filters false
## htsjdk.samtools.metrics.StringHeader
# Started on: April 11, 2021 5:44:40 PM CEST

## METRICS CLASS	org.broadinstitute.hellbender.utils.read.markduplicates.GATKDuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
1	15177	2836327	24406	156487	9754	50313	0	0.019406	78998775

## HISTOGRAM	java.lang.Double
BIN	CoverageMult
1.0	1
2.0	1.964733
3.0	2.895444
4.0	3.793332
5.0	4.659554
6.0	5.495228
7.0	6.30143
8.0	7.0792
9.0	7.829541
10.0	8.55342
11.0	9.251771
12.0	9.925493
13.0	10.575455
14.0	11.202495
15.0	11.807422
16.0	12.391015
17.0	12.954027
18.0	13.497183
19.0	14.021184
20.0	14.526705
21.0	15.014398
22.0	15.484892
23.0	15.938794
24.0	16.376687
25.0	16.799138
26.0	17.206691
27.0	17.59987
28.0	17.979183
29.0	18.34512
30.0	18.698151
31.0	19.038731
32.0	19.367301
33.0	19.684283
34.0	19.990087
35.0	20.285105
36.0	20.56972
37.0	20.844297
38.0	21.10919
39.0	21.364742
40.0	21.611281
41.0	21.849126
42.0	22.078583
43.0	22.299948
44.0	22.513505
45.0	22.719532
46.0	22.918292
47.0	23.110043
48.0	23.295032
49.0	23.473497
50.0	23.645667
51.0	23.811766
52.0	23.972008
53.0	24.126598
54.0	24.275736
55.0	24.419614
56.0	24.558419
57.0	24.692328
58.0	24.821515
59.0	24.946146
60.0	25.066382
61.0	25.182377
62.0	25.294281
63.0	25.40224
64.0	25.50639
65.0	25.606868
66.0	25.703802
67.0	25.797318
68.0	25.887535
69.0	25.974571
70.0	26.058538
71.0	26.139543
72.0	26.217692
73.0	26.293084
74.0	26.365818
75.0	26.435987
76.0	26.503681
77.0	26.568988
78.0	26.631991
79.0	26.692773
80.0	26.751411
81.0	26.807981
82.0	26.862556
83.0	26.915206
84.0	26.966
85.0	27.015002
86.0	27.062277
87.0	27.107883
88.0	27.151882
89.0	27.194329
90.0	27.235279
91.0	27.274785
92.0	27.312897
93.0	27.349666
94.0	27.385137
95.0	27.419358
96.0	27.452372
97.0	27.484222
98.0	27.514948
99.0	27.544591
100.0	27.573188

## htsjdk.samtools.metrics.StringHeader
# MarkDuplicatesSpark --output marked_duplicates_ERR2299968.bam --metrics-file marked_dup_metrics_ERR2299968.txt --input ERR2299968.bam --allow-multiple-sort-orders-in-input false --treat-unsorted-as-querygroup-ordered false --duplicate-scoring-strategy SUM_OF_BASE_QUALITIES --do-not-mark-unmapped-mates false --duplicate-tagging-policy DontTag --remove-all-duplicates false --remove-sequencing-duplicates false --read-name-regex <optimized capture of last three ':' separated fields as numeric values> --optical-duplicate-pixel-distance 100 --read-validation-stringency SILENT --interval-set-rule UNION --interval-padding 0 --interval-exclusion-padding 0 --interval-merging-rule ALL --bam-partition-size 0 --use-nio false --disable-sequence-dictionary-validation false --add-output-vcf-command-line true --sharded-output false --num-reducers 0 --create-output-bam-index true --create-output-bam-splitting-index true --splitting-index-granularity 4096 --create-output-variant-index true --spark-master local[*] --help false --version false --showHidden false --verbosity INFO --QUIET false --use-jdk-deflater false --use-jdk-inflater false --gcs-max-retries 20 --gcs-project-for-requester-pays  --disable-tool-default-read-filters false
## htsjdk.samtools.metrics.StringHeader
# Started on: April 11, 2021 5:58:26 PM CEST

## METRICS CLASS	org.broadinstitute.hellbender.utils.read.markduplicates.GATKDuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
1	4196	1965383	16947	153160	2240	52026	0	0.027012	36465016

## HISTOGRAM	java.lang.Double
BIN	CoverageMult
1.0	1
2.0	1.947529
3.0	2.84534
4.0	3.696042
5.0	4.502107
6.0	5.265877
7.0	5.989571
8.0	6.675292
9.0	7.325032
10.0	7.94068
11.0	8.524025
12.0	9.07676
13.0	9.600493
14.0	10.096746
15.0	10.566959
16.0	11.0125
17.0	11.434662
18.0	11.834674
19.0	12.213696
20.0	12.572831
21.0	12.913122
22.0	13.235557
23.0	13.541074
24.0	13.830559
25.0	14.104856
26.0	14.364759
27.0	14.611026
28.0	14.84437
29.0	15.065471
30.0	15.27497
31.0	15.473476
32.0	15.661567
33.0	15.839789
34.0	16.008659
35.0	16.168668
36.0	16.320281
37.0	16.463939
38.0	16.600059
39.0	16.729037
40.0	16.851247
41.0	16.967045
42.0	17.076767
43.0	17.180731
44.0	17.27924
45.0	17.372581
46.0	17.461024
47.0	17.544826
48.0	17.62423
49.0	17.699469
50.0	17.77076
51.0	17.838309
52.0	17.902315
53.0	17.962962
54.0	18.020427
55.0	18.074877
56.0	18.126469
57.0	18.175355
58.0	18.221675
59.0	18.265565
60.0	18.307152
61.0	18.346557
62.0	18.383894
63.0	18.419272
64.0	18.452794
65.0	18.484557
66.0	18.514653
67.0	18.54317
68.0	18.570191
69.0	18.595794
70.0	18.620053
71.0	18.64304
72.0	18.66482
73.0	18.685458
74.0	18.705013
75.0	18.723541
76.0	18.741098
77.0	18.757733
78.0	18.773496
79.0	18.788431
80.0	18.802583
81.0	18.815992
82.0	18.828697
83.0	18.840736
84.0	18.852143
85.0	18.862952
86.0	18.873193
87.0	18.882897
88.0	18.892092
89.0	18.900805
90.0	18.90906
91.0	18.916882
92.0	18.924294
93.0	18.931317
94.0	18.937971
95.0	18.944276
96.0	18.95025
97.0	18.955911
98.0	18.961275
99.0	18.966357
100.0	18.971173

## htsjdk.samtools.metrics.StringHeader
# MarkDuplicatesSpark --output marked_duplicates_ERR2299969.bam --metrics-file marked_dup_metrics_ERR2299969.txt --input ERR2299969.bam --allow-multiple-sort-orders-in-input false --treat-unsorted-as-querygroup-ordered false --duplicate-scoring-strategy SUM_OF_BASE_QUALITIES --do-not-mark-unmapped-mates false --duplicate-tagging-policy DontTag --remove-all-duplicates false --remove-sequencing-duplicates false --read-name-regex <optimized capture of last three ':' separated fields as numeric values> --optical-duplicate-pixel-distance 100 --read-validation-stringency SILENT --interval-set-rule UNION --interval-padding 0 --interval-exclusion-padding 0 --interval-merging-rule ALL --bam-partition-size 0 --use-nio false --disable-sequence-dictionary-validation false --add-output-vcf-command-line true --sharded-output false --num-reducers 0 --create-output-bam-index true --create-output-bam-splitting-index true --splitting-index-granularity 4096 --create-output-variant-index true --spark-master local[*] --help false --version false --showHidden false --verbosity INFO --QUIET false --use-jdk-deflater false --use-jdk-inflater false --gcs-max-retries 20 --gcs-project-for-requester-pays  --disable-tool-default-read-filters false
## htsjdk.samtools.metrics.StringHeader
# Started on: April 11, 2021 6:05:26 PM CEST

## METRICS CLASS	org.broadinstitute.hellbender.utils.read.markduplicates.GATKDuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
1	4633	720368	5248	51261	1667	5526	0	0.0088	46713066

## HISTOGRAM	java.lang.Double
BIN	CoverageMult
1.0	1
2.0	1.984697
3.0	2.954326
4.0	3.909116
5.0	4.849296
6.0	5.775088
7.0	6.686713
8.0	7.584387
9.0	8.468324
10.0	9.338735
11.0	10.195826
12.0	11.039801
13.0	11.870861
14.0	12.689203
15.0	13.495022
16.0	14.28851
17.0	15.069856
18.0	15.839244
19.0	16.596859
20.0	17.34288
21.0	18.077485
22.0	18.800849
23.0	19.513142
24.0	20.214536
25.0	20.905197
26.0	21.585288
27.0	22.254972
28.0	22.914408
29.0	23.563753
30.0	24.203161
31.0	24.832784
32.0	25.452772
33.0	26.063273
34.0	26.664431
35.0	27.25639
36.0	27.83929
37.0	28.41327
38.0	28.978467
39.0	29.535014
40.0	30.083045
41.0	30.622689
42.0	31.154076
43.0	31.67733
44.0	32.192577
45.0	32.69994
46.0	33.199538
47.0	33.691492
48.0	34.175916
49.0	34.652928
50.0	35.122641
51.0	35.585165
52.0	36.040611
53.0	36.489088
54.0	36.930702
55.0	37.365558
56.0	37.793759
57.0	38.215407
58.0	38.630604
59.0	39.039446
60.0	39.442032
61.0	39.838458
62.0	40.228817
63.0	40.613202
64.0	40.991705
65.0	41.364416
66.0	41.731424
67.0	42.092815
68.0	42.448676
69.0	42.799091
70.0	43.144144
71.0	43.483916
72.0	43.81849
73.0	44.147943
74.0	44.472354
75.0	44.791802
76.0	45.10636
77.0	45.416106
78.0	45.721111
79.0	46.021448
80.0	46.31719
81.0	46.608406
82.0	46.895166
83.0	47.177537
84.0	47.455587
85.0	47.729383
86.0	47.998988
87.0	48.264468
88.0	48.525885
89.0	48.783302
90.0	49.036779
91.0	49.286378
92.0	49.532157
93.0	49.774175
94.0	50.012489
95.0	50.247157
96.0	50.478233
97.0	50.705774
98.0	50.929832
99.0	51.150461
100.0	51.367715

## htsjdk.samtools.metrics.StringHeader
# MarkDuplicatesSpark --output marked_duplicates_ERR2299970.bam --metrics-file marked_dup_metrics_ERR2299970.txt --input ERR2299970.bam --allow-multiple-sort-orders-in-input false --treat-unsorted-as-querygroup-ordered false --duplicate-scoring-strategy SUM_OF_BASE_QUALITIES --do-not-mark-unmapped-mates false --duplicate-tagging-policy DontTag --remove-all-duplicates false --remove-sequencing-duplicates false --read-name-regex <optimized capture of last three ':' separated fields as numeric values> --optical-duplicate-pixel-distance 100 --read-validation-stringency SILENT --interval-set-rule UNION --interval-padding 0 --interval-exclusion-padding 0 --interval-merging-rule ALL --bam-partition-size 0 --use-nio false --disable-sequence-dictionary-validation false --add-output-vcf-command-line true --sharded-output false --num-reducers 0 --create-output-bam-index true --create-output-bam-splitting-index true --splitting-index-granularity 4096 --create-output-variant-index true --spark-master local[*] --help false --version false --showHidden false --verbosity INFO --QUIET false --use-jdk-deflater false --use-jdk-inflater false --gcs-max-retries 20 --gcs-project-for-requester-pays  --disable-tool-default-read-filters false
## htsjdk.samtools.metrics.StringHeader
# Started on: April 11, 2021 6:08:49 PM CEST

## METRICS CLASS	org.broadinstitute.hellbender.utils.read.markduplicates.GATKDuplicationMetrics
